acousticness,added_at,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,name,popularity,preview_url,speechiness,tempo,time_signature,track_img,valence
0.342,11/30/16,Vacationer,0.768,185470,0.531,5.16E-06,1,0.137,-6.668,Paradise Waiting,49,https://p.scdn.co/mp3-preview/cbbd4f7b7af41160ce4b76f307def09792ee9b22?cid=930456c642564135939390fde3dd06bf,0.0378,90.016,4,https://i.scdn.co/image/2f5da62ff4c9d7ca3740f6f1a5d8f486f8bd9106,0.895
0.537,11/28/16,Glass Animals,0.737,243509,0.282,3.93E-05,5,0.233,-7.911,Season 2 Episode 3,63,https://p.scdn.co/mp3-preview/57d0257a1a31bde81d8586f7da41db5015329f6c?cid=930456c642564135939390fde3dd06bf,0.107,148.001,4,https://i.scdn.co/image/1ad69327d5e8ee9d4347d7273ecbfb0c472f18c0,0.684
0.128,11/27/16,E-40,0.889,272720,0.597,0.0004,9,0.0924,-7.301,Choices (Yup),63,https://p.scdn.co/mp3-preview/678e28db7aadfa1375051cf03cafecef37265e3f?cid=930456c642564135939390fde3dd06bf,0.374,119.999,4,https://i.scdn.co/image/213fa4f167ad97d53173a1f1ef63f5d974fb94cb,0.261
0.245,11/25/16,Sly & The Family Stone,0.813,139507,0.619,0.0151,7,0.113,-8.203,Everyday People,63,https://p.scdn.co/mp3-preview/225c5044716130e0205b07d60751ee81c8003a52?cid=930456c642564135939390fde3dd06bf,0.0294,114.58,4,https://i.scdn.co/image/964e87f80e22f2cd1545c23ee9cde663fadf049d,0.778
0.403,11/24/16,Harold Melvin & The Blue Notes,0.472,366573,0.679,1.02E-06,0,0.109,-9.961,Don't Leave Me This Way,46,https://p.scdn.co/mp3-preview/f53364e19d81973ad8cda01985cabf203ce1abf5?cid=930456c642564135939390fde3dd06bf,0.0623,120.197,4,https://i.scdn.co/image/fa37b92018d12626c238656edabb32f01eafd32f,0.545
0.157,11/24/16,George McCrae,0.581,384276,0.816,0.184,1,0.0902,-12.466,Rock Your Baby (Album Version),43,https://p.scdn.co/mp3-preview/af43aaf2cef685261118258c8822e68ead226a89?cid=930456c642564135939390fde3dd06bf,0.0394,105.078,4,https://i.scdn.co/image/3e176e2e2041ae8d59d2d7e14d66f864f406017d,0.929
0.0554,11/24/16,George McCrae,0.722,191440,0.731,0.000402,9,0.175,-12.181,Kiss Me (The Way I Like It),1,https://p.scdn.co/mp3-preview/4d9cbb5d7ef22e4374494835e9c65882e6a6a95e?cid=930456c642564135939390fde3dd06bf,0.028,115.418,4,https://i.scdn.co/image/3e176e2e2041ae8d59d2d7e14d66f864f406017d,0.944
0.238,11/23/16,Elton John,0.668,322549,0.678,6.29E-06,0,0.527,-8.015,Bennie And The Jets - Remastered 2014,63,https://p.scdn.co/mp3-preview/554e68a679fb9f040914b5fc6b261a9e5a410ff6?cid=930456c642564135939390fde3dd06bf,0.0496,132.584,4,https://i.scdn.co/image/1e1c4d8db3164a4f13563cb4deae87f3b483c54b,0.776
0.204,11/23/16,Four Tops,0.686,163680,0.714,0,0,0.0592,-4.809,"I Can't Help Myself (Sugar Pie, Honey Bunch)",61,https://p.scdn.co/mp3-preview/2bd022d2dedbaa658d574b92372444dcba5782b4?cid=930456c642564135939390fde3dd06bf,0.0287,126.736,4,https://i.scdn.co/image/b0458be50600d2931a24836104ec6404e73ecf89,0.965
0.0531,11/23/16,The Rolling Stones,0.638,213067,0.928,0.11,5,0.0875,-4.078,Start Me Up - Remastered 2009,64,https://p.scdn.co/mp3-preview/2ec0eab11c5a174a64ed7555e89e80e8a0ffd732?cid=930456c642564135939390fde3dd06bf,0.0388,122.428,4,https://i.scdn.co/image/c138c8493652464f97177724d7694c6585e7957b,0.967
0.127,11/23/16,The Black Keys,0.641,203773,0.582,0.00632,4,0.354,-6.554,Everlasting Light,60,https://p.scdn.co/mp3-preview/7f9e5423c0c3cfa5603248154296255d8f2c75af?cid=930456c642564135939390fde3dd06bf,0.0483,181.039,4,https://i.scdn.co/image/fee2081afe784d2e565d9a55eb1b284d83ffac55,0.725
0.00121,11/23/16,The Black Keys,0.504,211080,0.705,4.12E-06,6,0.453,-6.179,Tighten Up,64,https://p.scdn.co/mp3-preview/274a4c5e44179a6dad69d2ede7fcaa34a069fa7d?cid=930456c642564135939390fde3dd06bf,0.0665,108.965,4,https://i.scdn.co/image/fee2081afe784d2e565d9a55eb1b284d83ffac55,0.581
0.028,11/23/16,The Black Keys,0.705,191800,0.735,0.0783,11,0.112,-6.646,Howlin' For You,67,https://p.scdn.co/mp3-preview/a5c29239ea62843247c24be6008222c5e95d4332?cid=930456c642564135939390fde3dd06bf,0.0931,132.627,4,https://i.scdn.co/image/fee2081afe784d2e565d9a55eb1b284d83ffac55,0.436
0.0156,11/23/16,The Black Keys,0.531,204733,0.676,0.00287,11,0.0988,-6.173,Too Afraid To Love You,51,https://p.scdn.co/mp3-preview/f0db53a57781ed58544c6eab22f20d4376a241f4?cid=930456c642564135939390fde3dd06bf,0.0299,136.759,4,https://i.scdn.co/image/fee2081afe784d2e565d9a55eb1b284d83ffac55,0.536
0.0182,11/23/16,Stevie Wonder,0.648,244827,0.751,0.000401,8,0.0418,-8.582,Superstition,68,https://p.scdn.co/mp3-preview/21f8efb060ceaa7bb03a12ef89d74bad6c72720f?cid=930456c642564135939390fde3dd06bf,0.0806,100.437,4,https://i.scdn.co/image/250afb68479b530585d67f2acc6af9975b3c6665,0.867
0.39,11/23/16,TV Noise,0.67,156909,0.766,7.27E-05,8,0.0888,-4.88,Bring Me Down (ft. Bright Sparks),52,https://p.scdn.co/mp3-preview/ee2d6df9eecca803569c95d17afad24da727e5e4?cid=930456c642564135939390fde3dd06bf,0.241,107.873,4,https://i.scdn.co/image/b372b822cbb8d42794b4ec4c4c7abc4a08bb098d,0.389
0.672,11/22/16,Red Hot Chili Peppers,0.633,254867,0.704,0.179,11,0.105,-7.697,Encore,64,https://p.scdn.co/mp3-preview/41f931e1d5e87a1f8d91f3211ad7b18ea199aeb5?cid=930456c642564135939390fde3dd06bf,0.0276,104.958,4,https://i.scdn.co/image/8deed63f89e0a215e90de1ee5809780921a47747,0.35
0.0432,11/22/16,Red Hot Chili Peppers,0.852,263800,0.651,0.0192,8,0.158,-6.254,Go Robot,70,https://p.scdn.co/mp3-preview/e6c44098fc6b638676450abc9854804b05c3a682?cid=930456c642564135939390fde3dd06bf,0.0411,131.01,4,https://i.scdn.co/image/8deed63f89e0a215e90de1ee5809780921a47747,0.957
0.183,11/22/16,Red Hot Chili Peppers,0.591,221440,0.794,0,4,0.292,-5.935,Sick Love,66,https://p.scdn.co/mp3-preview/cc7db96c4aef501af2f087e4de5573f82fcb64c1?cid=930456c642564135939390fde3dd06bf,0.069,147.974,4,https://i.scdn.co/image/8deed63f89e0a215e90de1ee5809780921a47747,0.877
0.68,11/22/16,SRNO,0.8,194000,0.24,0,5,0.0878,-12.887,Stay Sane,59,https://p.scdn.co/mp3-preview/6b9114ba24dc33f6bfad2a65e7d4c5e085c59422?cid=930456c642564135939390fde3dd06bf,0.172,120.011,4,https://i.scdn.co/image/bf8cbfe55f2a4f478624bc388655e76e341980b4,0.231
